F1_CV_Train,F1_Test,CI_Train,Binomial_SE,Dataset,Visit,Type
0.7046,0.6147,"(0.6981, 0.7111)",0.005135906695774821,Same_Participants_1,1,Same
0.6931,0.6222,"(0.6876, 0.6987)",0.004563591028188367,Same_Participants_2,2,Same
0.6971,0.6298,"(0.6946, 0.6996)",0.004882338718988667,Same_Participants_3,3,Same
0.6968,0.6721,"(0.6926, 0.701)",0.004728891413750599,Same_Participants_4,4,Same
0.6973,0.6688,"(0.693, 0.7015)",0.004703861929440918,Same_Participants_5,5,Same
0.6955,0.6535,"(0.6927, 0.6984)",0.004891443592049405,Same_Participants_6,6,Same
0.7103,0.5509,"(0.7073, 0.7133)",0.011502364090879074,New_Participants_1,1,New
0.6974,0.5821,"(0.6909, 0.7038)",0.011990431320949691,New_Participants_2,2,New
0.7053,0.6029,"(0.6965, 0.714)",0.01182898771330199,New_Participants_3,3,New
0.7088,0.6648,"(0.7054, 0.7121)",0.011466019052851516,New_Participants_4,4,New
0.7051,0.6722,"(0.7014, 0.7088)",0.011687901555772677,New_Participants_5,5,New
0.7022,0.6544,"(0.6976, 0.7068)",0.011259292126631456,New_Participants_6,6,New
